Sensor,Value,Units
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.864,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.864,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.864,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.865,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.859,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.868,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.874,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.862,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.859,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.865,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.877,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.865,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.871,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.865,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.874,kPa
BMP180_Temperature,20.0,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.9,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.864,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.867,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.872,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.878,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.875,kPa
BMP180_Temperature,19.8,c
BMP180_Pressure,102.860,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.863,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.869,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.877,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.874,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.874,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.866,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.863,kPa
BMP180_Temperature,19.7,c
BMP180_Pressure,102.871,kPa
BMP180_Temperature,19.6,c
BMP180_Pressure,102.874,kPa
BMP180_Temperature,19.6,c
BMP180_Pressure,102.871,kPa
BMP180_Temperature,19.6,c
BMP180_Pressure,102.880,kPa
BMP180_Temperature,19.6,c
BMP180_Pressure,102.868,kPa
BMP180_Temperature,19.6,c
BMP180_Pressure,102.862,kPa
